Subject,Predicate,Object
enslaved:Agent,enslaved:hasAgentRecord,enslaved:AgentRecord
enslaved:Agent,enslaved:hasExternalReference,enslaved:ExternalReference
enslaved:Agent,enslaved:hasNameRecord,enslaved:NameRecord
enslaved:AgentRecord,enslaved:hasTemporalExtent,enslaved:TemporalExtent
enslaved:AgentRecord,enslaved:recordedAt,enslaved:Event
enslaved:TemporalExtent,enslaved:contains,xsd:date
enslaved:AgeRecord,enslaved:hasAgeValue,xsd:double
enslaved:AgeRecord,enslaved:hasValue,enslaved:AgeCategory
enslaved:AgeRecord,rdfs:subClassOf,enslaved:AgentRecord
enslaved:Event,enslaved:hasEventType,enslaved:EventTypes
enslaved:Event,enslaved:hasExternalReference,enslaved:ExternalReference
enslaved:Event,enslaved:hasName,xsd:string
enslaved:Event,enslaved:hasTemporalExtent,enslaved:TemporalExtent
enslaved:Event,enslaved:providesParticipantRole,enslaved:ParticipantRoleRecord
enslaved:Event,enslaved:subeventOf,enslaved:Event
enslaved:ExternalReference,enslaved:refersTo,enslaved:ExternalReferent
enslaved:ExternalReference,enslaved:withID,xsd:string
enslaved:InterAgentRelationshipRecord,enslaved:hasInterAgentRelationshipType,enslaved:InterAgentRelationshipTypes
enslaved:InterAgentRelationshipRecord,enslaved:isRelationshipFrom,enslaved:Agent
enslaved:InterAgentRelationshipRecord,enslaved:isRelationshipTo,enslaved:Agent
enslaved:InterAgentRelationshipRecord,rdfs:subClassOf,enslaved:AgentRecord
enslaved:OccupationRecord,enslaved:hasValue,enslaved:Occupations
enslaved:OccupationRecord,rdfs:subClassOf,enslaved:AgentRecord
enslaved:NameRecord,enslaved:fullNameAsString,xsd:string
enslaved:NameRecord,enslaved:hasFirstNameAsString,xsd:string
enslaved:NameRecord,enslaved:hasNameVariant,enslaved:NameVariant
enslaved:NameRecord,enslaved:hasPreferredNameVariant,enslaved:NameVariant
enslaved:NameRecord,enslaved:hasSurnameAsString,xsd:string
enslaved:NameRecord,rdfs:subClassOf,enslaved:AgentRecord
enslaved:ParticipantRoleRecord,enslaved:hasParticipantRoleType,enslaved:ParticipantRoleTypes
enslaved:ParticipantRoleRecord,enslaved:roleProvidedBy,enslaved:Agent
enslaved:ParticipantRoleRecord,rdfs:subClassOf,enslaved:AgentRecord
enslaved:SexRecord,enslaved:hasValue,enslaved:SexTypes
enslaved:SexRecord,rdfs:subClassOf,enslaved:AgentRecord
enslaved:TemporalExtent,enslaved:endsAt,xsd:date
enslaved:TemporalExtent,enslaved:fallsWithin,enslaved:TimeSpan
enslaved:TemporalExtent,enslaved:occursAfter,xsd:date
enslaved:TemporalExtent,enslaved:occursBefore,xsd:date
enslaved:TemporalExtent,enslaved:startsAt,xsd:date
enslaved:TimeSpan,enslaved:endsAt,xsd:date
enslaved:TimeSpan,enslaved:startsAt,xsd:date
enslaved:TimeSpan,rdfs:subClassOf,enslaved:TemporalExtent
